family	scientificName	associatedSequences	associatedSequenceIds	countryName	sex	comment
Molossidae	Molossus molossus	mMolMol1.2.pri	hash://md5/2f334e0a46f4fb77ab028b95f4c03793	Panama	male	
Molossidae	Molossus nigricans	mMolNig1.2.hap1	hash://md5/98d347128b1bbcf666ed87bf3d31c25a	Belize	male	
Molossidae	Mops condylurus	mMopCon1.1	hash://md5/d4de2041c45fc0f70321884716c2c245	Côte d'Ivoire	female 	To be double checked 
Molossidae	Tadarida brasiliensis	mTadBra1.3.pri	hash://md5/49b3a7844045c0a461040d3c47ee0868	USA 	male	
Natalidae	Natalus tumidirostris	mNatTum1.1.pri	hash://md5/604eb816da5ab0c1e7c8eedf694f71ff	Bonaire	male	
Vespertilionidae	Antrozous pallidus	mAntPal2.1.pri	hash://md5/a1de2b5393a59a1b112a21a8c79b50aa	USA 	male	
Vespertilionidae	Corynorhinus mexicanus	mCorMex1.1.pri	hash://md5/482600ef4b6e4b84a671cae22bd65a40	Mexico	male	
Vespertilionidae	Corynorhinus townsendii	mCorTow1.1.hap1	hash://md5/7d6df22bcda3b822c0d4ef4c16629d0f	USA	male	
Vespertilionidae	Eptesicus fuscus	mEptFus1.3.pri	hash://md5/25489eec8b71688ea2b51a4692eeadb0	USA	male	
Vespertilionidae	Eptesicus nilssonii	mEptNil2.1.pri	hash://md5/bb402f7877e8aa3ddba6ef050a99bde2	Norway	To be added	
Vespertilionidae	Lasiurus ega	mLasEga1.1.hap1	hash://md5/a77cea273a153c887a6a72e8ff7f1e55	Belize	female 	
Vespertilionidae	Myotis auriculus	mMyoAur1.1.pri	hash://md5/e26193f6b69f2f96f974e6fa9a5cb00a	USA	male	
Vespertilionidae	Myotis californicus	mMyoCal1.1.pri	hash://md5/53b086b74b462e8205b030d1cd978480	USA	female 	
Vespertilionidae	Myotis daubentonii	mMyoDau2.1.pri	hash://md5/145bf2c5ca75843a366bfa984f99acf6	Switzerland	male	
Vespertilionidae	Myotis evotis	mMyoEvo1.1.pri	hash://md5/6438ce4fd99b69ad82fd559ea3cbe23d	USA	male	
Vespertilionidae	Myotis lucifugus	mMyoLuc2.1.pri	hash://md5/14640c6ba5808d849e7a24da73893182	USA	female 	
Vespertilionidae	Myotis myotis	mMyoMyo1.6.pri	hash://md5/d47bd07e8d73a41253dae47a5f023906	France	female 	
Vespertilionidae	Myotis mystacinus	mMyoMys1.1.hap1	hash://md5/12a99fd89d2cf8e4c027dd7cce827e06	England	male	
Vespertilionidae	Myotis nigricans	mMyoNig1.1.pri	hash://md5/c66e0124b1a97e8b88f88ad2fea3918b	To be added 	To be added	
Vespertilionidae	Myotis occultus	mMyoOcc1.1.pri	hash://md5/d3beb7a14891b0ca9693e70dab9333b6	USA	male	
Vespertilionidae	Myotis pilosus	mMyoPil1.1.pri	hash://md5/63ef061f6b9d9a179ebbad0e91b4db72	China	unknown	
Vespertilionidae	Myotis thysanodes	mMyoThy1.1.pri	hash://md5/8ea209949e4cae1f9da1e6cc9b7c7f37	USA	male	
Vespertilionidae	Myotis velifer	mMyoVel1.1.pri	hash://md5/94c5501bb1ae09b48d88fdfedb1393d6	USA	male	
Vespertilionidae	Myotis vivesi	mMyoViv1.2.pri	hash://md5/be0560d1bbbf928aa11e7d1eb23b2707	To be added 	To be added	
Vespertilionidae	Myotis volans	mMyoVol1.1.pri	hash://md5/156f475b1da6b49944e1682f16f97330	USA	male	
Vespertilionidae	Myotis yumanensis	mMyoYum1.1.hap1	hash://md5/027730304ec24a41a110079c77ce412d	USA	male	
Vespertilionidae	Nyctalus aviator	mNycAvi1.1.pri	hash://md5/9714c1eeccacd9584ad8c97be9f62c78	China	female 	
Vespertilionidae	Pipistrellus kuhlii	mPipKuh1.2.pri	hash://md5/fa22ac32dc992c98b304d9820fa7c75d	Italy	male	
Vespertilionidae	Pipistrellus nathusii	mPipNat1.1.hap1	hash://md5/63747f60ade4d278497c07764b534dad	Latvia	male	
Vespertilionidae	Pipistrellus pygmaeus	mPipPyg1.1.pri	hash://md5/881fe30fc347e60b6cbb73dd2e878366	Switzerland	male	
Vespertilionidae	Plecotus auritus	mPleAur1.1.pri	hash://md5/f4f8cf44c41dfd1dcb7fb35bdd7da2bf	England	female 	
Vespertilionidae	Vespertilio murinus	mVesMur1.1.pri	hash://md5/30be513247ad2cff464b1de6a744f83f	Belgium	male	
Pteropodidae	Cynopterus sphinx	mCynSph1.1.pri	hash://md5/e6e79fda749fe086b8b4663b67812317	To be added 	female 	
