Family	Genus Species	Best assembly on Globus	Location Collected (Country)	Sex	Comment	
Pteropodidae	Eonycteris spelaea	mEonSpe1.2.hap1	To be added 	To be added		
Pteropodidae	Hypsignathus monstrosus	mHypMon1.1.pri	1) Republic of Congo 2) Central African Republic	To be added	Assembly on genomic data of two individuals	
Pteropodidae	Rousettus aegyptiacus	mRouAeg1.4.pri		male	captive 	
Craseonycteridae	Craseonycteris thonglongyai	mCraTho2.1.hap1	Thailand	male		
Hipposideridae	Aselliscus stoliczkanus	mAseSto1.2.pri	China	female 		
Hipposideridae	Doryrhina cyclops	mDorCyc1.2.pri	Côte d'Ivoire	female 		
Hipposideridae	Hipposideros abae	mHipAba1.1.hap1	Ghana	female 		
Hipposideridae	Hipposideros armiger	mHipArm2.1.pri	China	unknown		
Hipposideridae	Hipposideros caffer	mHipCaf2.1.hap1	Ghana	female 		
Hipposideridae	Hipposideros jonesi	mHipJon1.1.hap1	Ghana	female 		
Hipposideridae	Hipposideros larvatus	mHipLar1.2.pri	China	male		
Hipposideridae	Hipposideros swinhoii	mHipSwi1.1.pri	China	unknown		
Megadermatidae	Megaderma spasma	mMegSpa1.1.pri	Vietnam	male		
Rhinolophidae	Rhinolophus affinis	mRhiAff1.2.pri	China	male		
Rhinolophidae	Rhinolophus ferrumequinum	mRhiFer1.5.pri	England	female 		
Rhinolophidae	Rhinolophus foetidus	mRhiFoe1.2.pri	To be added 	To be added		
Rhinolophidae	Rhinolophus hipposideros	mRhiHip1.1.hap1	To be added 	To be added		
Rhinolophidae	Rhinolophus pearsonii	mRhiPea1.1.pri	China	unknown		
Rhinolophidae	Rhinolophus perniger lanosus	mRhiPer1.2.pri	China	male		
Rhinolophidae	Rhinolophus sinicus	mRhiSin3.1.pri	China	unknown		
Rhinolophidae	Rhinolophus trifoliatus	mRhiTri1.2.pri	Malaysia	male		
Rhinolophidae	Rhinolophus yonghoiseni	mRhiYon1.2.pri	Malaysia	female 		
Rhinonycteridae	Triaenops persicus	mTriPer1.1.hap1	Oman	female 		
Rhinopomatidae	Rhinopoma microphyllum	mRhiMic1.1.pri	Israel	male		
Rhinopomatidae	Rhinopoma muscatellum	mRhiMus1.1.pri	Oman	male		
